Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Mansoor Al-Harbi,sa KSA,DF,Al-Ahli,26,1987,5,5,404,0,0,0,0,0,0,0,0,0,0,0,2014
Saied Al Harbi,sa KSA,GK,Al-Shoulla,32,1981,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2014
Salman Al-Hariri,sa KSA,MF,Hajer,26,1988,20,9,"1,088",2,0,0,0,1,0,0.17,0,0.17,0.17,0.17,2014
Amer Haroon,sa KSA,DF,Al-Shabab,21,1992,9,9,708,0,0,0,0,1,0,0,0,0,0,0,2014
Motaz Hawsawi,sa KSA,DF,Al-Ahli,22,1992,18,18,"1,608",0,0,0,0,4,0,0,0,0,0,0,2014
Omar Hawsawi,sa KSA,DF,Al-Nassr,28,1985,23,23,"2,038",2,0,0,0,5,0,0.09,0,0.09,0.09,0.09,2014
Osama Hawsawi,sa KSA,DF,Al-Ahli,30,1984,26,26,"2,316",4,1,1,1,1,0,0.16,0.04,0.19,0.12,0.16,2014
Naif Hazazi,sa KSA,FW,Al-Shabab,26,1988,17,15,"1,326",14,0,4,4,3,0,0.95,0,0.95,0.68,0.68,2014
Salman Hazazi,sa KSA,DF,Al-Raed,22,1992,6,5,378,0,0,0,0,3,0,0,0,0,0,0,2014
Salman Hazazi,sa KSA,DF,Al-Khaleej,22,1992,10,10,850,0,0,0,0,4,0,0,0,0,0,0,2014
Ibrahim Al Hazmi,sa KSA,GK,Al-Orobah,,,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2014
Ibrahim Hazzazi,sa KSA,DF,Al-Orobah,29,1984,1,1,23,0,0,0,0,0,0,0,0,0,0,0,2014
Majed Hazzazi,sa KSA,DF,Al-Taawoun,26,1988,24,15,"1,639",1,2,0,0,3,0,0.05,0.11,0.16,0.05,0.16,2014
Hernane,br BRA,FW,Al-Nassr,27,1986,7,2,234,1,0,0,0,0,0,0.38,0,0.38,0.38,0.38,2014
Ibrahim Al Htrsh,sa KSA,MF,Najran,,,11,4,425,2,0,0,0,1,0,0.42,0,0.42,0.42,0.42,2014
Abdurahman Al-Huraib,sa KSA,MF,Hajer,22,1992,19,16,"1,490",0,1,0,0,2,0,0,0.06,0.06,0,0.06,2014
Mohamed Husain,bh BHR,DF,Al-Nassr,34,1980,22,22,"1,939",0,0,0,0,2,2,0,0,0,0,0,2014
Jehad Al-Hussain,sy SYR,MF,Al-Taawoun,32,1982,26,26,"2,231",5,6,3,3,1,0,0.2,0.24,0.44,0.08,0.32,2014
Riyadh Al-Ibrahim,sa KSA,MF,Hajer,20,1993,22,19,"1,547",6,1,0,0,4,0,0.35,0.06,0.41,0.35,0.41,2014
Saeed Al Issa,sa KSA,DF,Al-Raed,25,1989,10,7,634,0,0,0,0,3,0,0,0,0,0,0,2014
Majed Al-Jaaferi,sa KSA,MF,Najran,28,1986,18,15,"1,376",0,0,0,0,1,0,0,0,0,0,0,2014
Hossam Al-Jadaani,sa KSA,DF,Al-Khaleej,25,1989,14,12,"1,093",0,0,0,0,3,0,0,0,0,0,0,2014
Abdullah Al Jadani,sa KSA,GK,Najran,22,1991,8,8,720,0,0,0,0,1,0,0,0,0,0,0,2014
Sabah Jadoua,sa KSA,MF,Al-Faisaly,27,1987,12,12,945,0,0,0,0,1,0,0,0,0,0,0,2014
Walid Jahdali,sa KSA,DF,Al-Orobah,32,1982,3,2,141,0,0,0,0,2,0,0,0,0,0,0,2014
Mohammed Jahfali,sa KSA,DF,Al-Faisaly,23,1990,12,12,"1,080",1,0,0,0,3,0,0.08,0,0.08,0.08,0.08,2014
Mohammed Jahfali,sa KSA,DF,Al-Hilal,23,1990,6,6,516,0,0,0,0,1,1,0,0,0,0,0,2014
Abdulrahim Jaizawi,sa KSA,MF,Al-Ittihad,24,1989,6,0,56,0,0,0,0,0,0,0,0,0,0,0,2014
Abdulrahim Jaizawi,sa KSA,MF,Al-Nassr,24,1989,5,1,111,0,0,0,0,0,0,0,0,0,0,0,2014
Faisel Al-Jamaan,sa KSA,FW,Al-Fateh,28,1986,16,5,625,2,1,0,0,0,0,0.29,0.14,0.43,0.29,0.43,2014
Saleh Al Jaman,sa KSA,MF,Al-Ahli,20,1993,12,5,472,2,0,0,0,2,0,0.38,0,0.38,0.38,0.38,2014
Taisir Al-Jassim,sa KSA,MF,Al-Ahli,30,1984,25,25,"2,167",3,4,0,1,6,0,0.12,0.17,0.29,0.12,0.29,2014
Abdulaziz Al-Jebreen,sa KSA,MF,Al-Nassr,24,1990,12,8,745,0,2,0,0,1,0,0,0.24,0.24,0,0.24,2014
Abdulellah Jerman,sa KSA,MF,Al-Orobah,22,1992,7,3,373,0,0,0,0,1,0,0,0,0,0,0,2014
Dario Jertec,hr CRO,MF,Hajer,28,1985,13,11,936,0,0,0,0,2,0,0,0,0,0,0,2014
Ahmed Al-Jizani,sa KSA,FW,Al-Shabab,22,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2014
Ahmed Al-Jizani,sa KSA,FW,Hajer,22,1991,1,0,28,0,0,0,0,0,0,0,0,0,0,0,2014
Fahad Al-Johani,sa KSA,DF,Al-Orobah,26,1987,13,13,"1,151",0,0,0,0,6,0,0,0,0,0,0,2014
Fahad Al-Johani,sa KSA,FW,Al-Raed,22,1991,25,15,"1,423",2,2,0,0,5,0,0.13,0.13,0.25,0.13,0.25,2014
Mansor Joher,sa KSA,GK,Al-Shabab,19,1995,2,1,151,0,0,0,0,0,0,0,0,0,0,0,2014
Aiedh Al-Joni,sa KSA,MF,Hajer,26,1988,5,0,98,0,0,0,0,2,0,0,0,0,0,0,2014
Hamad Al-Juhaim,sa KSA,FW,Al-Raed,26,1987,4,0,62,0,0,0,0,0,0,0,0,0,0,0,2014
Khalid Kaabi,sa KSA,MF,Al-Hilal,22,1992,8,4,354,1,0,0,0,0,0,0.25,0,0.25,0.25,0.25,2014
Sultan Al Kaabi,sa KSA,DF,Al-Raed,,,2,2,151,0,0,0,0,1,0,0,0,0,0,0,2014
